,Alpha,CMA,HML,Mkt-RF,RMW,SMB,STR,WML,Weight,fund,model,Name
15,0.0001239616776389845,,0.1358326582494948,0.8966510433181272,,-0.08093539318860807,,,0.015243,BRAGX,ff3,CHARTER COMMUNICATIONS INC ORD
15,0.0001243993206374018,0.6195184898595248,-0.08991729206867569,0.9441718178716347,-0.34995967306495834,-0.12306140072578697,,,0.015243,BRAGX,ff5,CHARTER COMMUNICATIONS INC ORD
15,0.00016932424164843644,,-0.11665153592260727,0.8986986314384714,,-0.20066461196949137,,-0.42109536583547147,0.015243,BRAGX,carhart,CHARTER COMMUNICATIONS INC ORD
15,9.584315397829704e-05,,,0.8680496989160145,,,,,0.015243,BRAGX,capm,CHARTER COMMUNICATIONS INC ORD
16,0.0009841877036840447,-0.1716822927698309,0.4688509308806631,0.8646111944577561,-0.06531527285272655,-0.08262852062069587,-0.020338393012312213,0.3103963041393084,0.014094,BRAGX,full,PROGRESSIVE CORP ORD
16,0.001000798717384714,,0.22382135576367748,0.8873677551260983,,-0.17004398092107606,,,0.014094,BRAGX,ff3,PROGRESSIVE CORP ORD
16,0.0010218066572162206,-0.2404685298400807,0.30453512051613657,0.8506413346279706,-0.12137513282728576,-0.17704187940120963,,,0.014094,BRAGX,ff5,PROGRESSIVE CORP ORD
16,0.0009655291952655227,,0.42012853252034094,0.8857757495576579,,-0.07695417388889719,,0.32740284073437453,0.014094,BRAGX,carhart,PROGRESSIVE CORP ORD
16,0.0009619043576866364,,,0.8387101421062086,,,,,0.014094,BRAGX,capm,PROGRESSIVE CORP ORD
17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013863,BRAGX,full,SANTANDER CONSUMER USA HOLDINGS INC ORD
17,0.0,,0.0,1.0,,0.0,,,0.013863,BRAGX,ff3,SANTANDER CONSUMER USA HOLDINGS INC ORD
17,0.0,0.0,0.0,1.0,0.0,0.0,,,0.013863,BRAGX,ff5,SANTANDER CONSUMER USA HOLDINGS INC ORD
17,0.0,,0.0,1.0,,0.0,,0.0,0.013863,BRAGX,carhart,SANTANDER CONSUMER USA HOLDINGS INC ORD
17,0.0,,,1.0,,,,,0.013863,BRAGX,capm,SANTANDER CONSUMER USA HOLDINGS INC ORD
18,0.0008124512736111715,0.5452493237382707,-0.1610800284636167,0.9584250238359141,-0.21864056944888285,0.8099982422570454,-0.2407707669821944,0.03152452140335605,0.013343,BRAGX,full,OSI SYSTEMS INC ORD
18,0.0007803805127819196,,0.007775736643994932,0.8694803944544685,,0.8037175566280186,,,0.013343,BRAGX,ff3,OSI SYSTEMS INC ORD
18,0.0007698007823376345,0.5987370080202449,-0.20681049622144276,0.9249048153744819,-0.20458814028746214,0.775135498674979,,,0.013343,BRAGX,ff5,OSI SYSTEMS INC ORD
18,0.0007754232243672248,,0.035367584636276914,0.8692566309814613,,0.816801743603244,,0.04601792742902068,0.013343,BRAGX,carhart,OSI SYSTEMS INC ORD
18,0.0006148438948877832,,,0.9015404335610959,,,,,0.013343,BRAGX,capm,OSI SYSTEMS INC ORD
19,0.0004516687754264081,0.27389130439485243,-0.08787579592101696,0.734060153505902,0.3604735534739626,-0.27390014363159254,0.015584719441164123,-0.03463997208001947,0.012934000000000001,BRAGX,full,STARBUCKS CORP ORD
19,0.000492909371965265,,0.019406288169524624,0.6789149861379039,,-0.29049386806321087,,,0.012934000000000001,BRAGX,ff3,STARBUCKS CORP ORD
19,0.0004500626917262042,0.27819456582882596,-0.06791831317072522,0.7374097941361109,0.36562835655496545,-0.26195391155533165,,,0.012934000000000001,BRAGX,ff5,STARBUCKS CORP ORD
19,0.0005013030688201952,,-0.02731231852312094,0.6792938631776198,,-0.31264805597260925,,-0.07791770427876099,0.012934000000000001,BRAGX,carhart,STARBUCKS CORP ORD
19,0.0005454569909189036,,,0.6632010896856336,,,,,0.012934000000000001,BRAGX,capm,STARBUCKS CORP ORD
